Word,Frequency
ও,288868
করে,166785
থেকে,156104
এ,140796
করা,132498
এই,110786
এবং,108840
তার,90529
"বলেন,",89966
অপরাহ্ণ,89562
জন্য,86046
নিয়ে,79507
তিনি,77268
করতে,72062
না,70305
এক,69156
সঙ্গে,65383
একটি,64676
মধ্যে,60505
২০২০,60220
তাদের,58809
হয়েছে।,58029
হয়ে,56241
হয়।,53125
প্রকাশিত:,53016
আপডেট:,53016
এর,52758
হাজার,52385
আর,52195
বলে,50523
পর,49289
সময়,46944
কোনো,45317
হবে।,45177
আমরা,44158
না।,43914
দিয়ে,43638
তবে,43320
২০১৯,42495
কথা,41262
বাংলাদেশ,40260
হবে,39593
শুরু,39255
করার,38920
শেখ,38885
গত,38852
যে,38231
আমাদের,37951
তারা,37690
বিভিন্ন,37488
কাজ,37272
কিন্তু,36056
দেশের,35581
করোনা,34442
পর্যন্ত,34374
হিসেবে,33931
আগে,33525
হয়েছে,33092
এখন,32993
করেন,32384
তা,32099
দুই,32009
সব,31600
নতুন,31065
হয়,30928
টাকা,30175
লাখ,30164
ওই,29568
সেই,28755
প্রধানমন্ত্রী,28667
কারণে,27489
প্রথম,27234
বছর,27135
বা,26822
দেয়া,26699
তাকে,26638
দেখা,26320
মাধ্যমে,26275
ঢাকা,26110
আমি,25931
জাতীয়,25799
কিছু,25553
অনেক,25536
কোটি,25423
মো.,25187
বাংলাদেশের,25171
"জানান,",25063
আরো,25051
পুলিশ,24950
সাধারণ,24749
সম্পাদক,24370
জন,24218
সে,24183
হতে,23814
বেশি,23662
আওয়ামী,23502
করেন।,23465
আমার,23436
ছিল,23393
শেষ,23233
কাছে,23203
বিষয়ে,22994
দেশে,22493
করেছেন,22462
তথ্য,22325
এসব,21933
করেছে,21665
দিন,21560
হলে,21536
হচ্ছে,21315
আরও,21219
মানুষের,21189
এমন,21025
সরকার,21005
বিরুদ্ধে,20995
দিকে,20889
পরে,20539
প্রধান,20493
প্রায়,20471
ইসলাম,20393
মতো,20252
দিতে,19975
সদস্য,19772
আজ,19710
নিশ্চিত,19641
তাই,19481
দলের,19459
১,19359
সালে,19143
বলা,19053
সভাপতি,18877
আগস্ট,18860
বড়,18809
সালের,18758
আক্রান্ত,18485
হাসপাতালে,18445
বন্ধ,18439
জুলাই,18345
করে।,18254
রহমান,18177
ব্যবস্থা,18102
সরকারের,18064
লীগের,17972
স্বাস্থ্য,17887
হোসেন,17733
জেলা,17626
১০,17423
বছরের,17419
তিনি।,17226
জানা,17203
