Bigram,Frequency
অপরাহ্ণ প্রকাশিত,45842
অপরাহ্ণ আপডেট,43713
করা হয়েছে,32273
করা হয়,30207
তিনি বলেন,23286
শেখ হাসিনা,17104
করা হবে,14974
প্রধানমন্ত্রী শেখ,14556
আওয়ামী লীগের,14485
সাধারণ সম্পাদক,14313
করতে হবে,14071
এর আগে,13147
এ সময়,11144
জানা গেছে,10341
উপস্থিত ছিলেন,9830
পূর্বাহ্ণ আপডেট,9303
করা হচ্ছে,9036
হতে পারে,8883
কোটি টাকা,8683
এ বিষয়ে,8477
আওয়ামী লীগ,8389
হবে না,7678
এর মধ্যে,7480
কথা বলেন,7352
পক্ষ থেকে,7250
পূর্বাহ্ণ প্রকাশিত,7173
করার জন্য,6861
২০২০ ১০,6849
বলা হয়েছে,6734
শেখ হাসিনার,6723
২০২০ ৯,6705
এ তথ্য,6349
দেয়া হয়েছে,6326
লাখ টাকা,6221
করেন তিনি,6220
আপডেট আগস্ট,6171
প্রকাশিত আগস্ট,6167
কাছ থেকে,5954
বঙ্গবন্ধু শেখ,5936
এখন পর্যন্ত,5924
এ ছাড়া,5849
বলা হয়,5835
প্রকাশিত জুলাই,5797
আপডেট জুলাই,5789
প্রকাশিত নভেম্বর,5723
আপডেট নভেম্বর,5722
প্রকাশিত সেপ্টেম্বর,5605
আপডেট সেপ্টেম্বর,5602
আপডেট অক্টোবর,5470
প্রকাশিত অক্টোবর,5461
